"text","emotion"
"I feel very stressed with my exams","stress"
"I am overwhelmed with my workload","stress"
"Deadlines are making me anxious and tired","stress"
"My mind feels restless from all the stress","stress"
"Everyday stress feels unbearable","stress"
"I feel like I’m constantly under pressure","stress"
"Stress makes me irritable","stress"
"I feel mentally drained from work","stress"
"My thoughts are consumed by stress","stress"
"I can’t relax because of work","stress"
"I feel anxious about my future","anxiety"
"I keep worrying about everything","anxiety"
"My heart races when I think about tomorrow","anxiety"
"I feel nervous without any reason","anxiety"
"I constantly feel on edge","anxiety"
"My anxiety keeps increasing","anxiety"
"I feel restless and uneasy","anxiety"
"Anxiety affects my sleep","anxiety"
"I feel tense when meeting new people","anxiety"
"I get anxious even over small tasks","anxiety"
"I feel sad and lonely today","sadness"
"I feel empty inside","sadness"
"Nothing feels enjoyable anymore","sadness"
"I feel emotionally drained","sadness"
"I feel disconnected from people","sadness"
"I feel hopeless about relationships","sadness"
"I feel down and tired","sadness"
"Tears come easily","sadness"
"My mood is low and unmotivated","sadness"
"I feel heartbroken","sadness"
"I am angry about how I was treated","anger"
"I lose my temper easily","anger"
"Small things make me angry","anger"
"I feel frustrated and irritated","anger"
"I feel rage building inside","anger"
"I feel upset and aggressive","anger"
"Anger makes me lose focus","anger"
"I feel explosive and tense","anger"
"Pausing helps me control my anger","anger"
"Anger affects my relationships","anger"
"I feel nervous and frightened","fear"
"I panic in stressful situations","fear"
"I feel afraid of the unknown","fear"
"Fear controls my decisions","fear"
"I feel terrified sometimes","fear"
"I fear losing control","fear"
"I feel unsafe mentally","fear"
"I dread unexpected events","fear"
"My mind races with fearful thoughts","fear"
"I feel anxious about danger","fear"
"I feel hopeless and tired of life","depression"
"Nothing feels meaningful anymore","depression"
"I struggle to find motivation","depression"
"I feel numb most of the time","depression"
"I feel like giving up","depression"
"I feel lost and helpless","depression"
"Life feels overwhelming","depression"
"I have no energy to continue","depression"
"I feel mentally drained","depression"
"My emotions feel heavy","depression"
"I feel lonely even when around people","loneliness"
"Feeling lonely can be painful","loneliness"
"I miss social interactions","loneliness"
"I want someone to talk to","loneliness"
"I feel disconnected from everyone","loneliness"
"Small connections help me feel better","loneliness"
"I reach out to friends when lonely","loneliness"
"I feel isolated sometimes","loneliness"
"Being alone makes me anxious","loneliness"
"I crave company","loneliness"
"I feel joyful and energetic","happiness"
"I am enjoying my life right now","happiness"
"I feel grateful for everything","happiness"
